S.no,File,Input Size,Time Taken
6,omp_mXv.exe,1024,0.005
7,omp_mXv.exe,1024,0.004
8,omp_mXv.exe,1024,0.004
9,omp_mXv.exe,1024,0.004
10,omp_mXv.exe,1024,0.004
1,omp_mXv.exe,2048,0.009
2,omp_mXv.exe,2048,0.01
3,omp_mXv.exe,2048,0.008
4,omp_mXv.exe,2048,0.008
5,omp_mXv.exe,2048,0.009
6,omp_mXv.exe,2048,0.009
7,omp_mXv.exe,2048,0.008
8,omp_mXv.exe,2048,0.009
9,omp_mXv.exe,2048,0.009
10,omp_mXv.exe,2048,0.009
1,omp_mXv.exe,4096,0.027
2,omp_mXv.exe,4096,0.026
3,omp_mXv.exe,4096,0.04
4,omp_mXv.exe,4096,0.026
5,omp_mXv.exe,4096,0.025
6,omp_mXv.exe,4096,0.024
7,omp_mXv.exe,4096,0.026
8,omp_mXv.exe,4096,0.031
9,omp_mXv.exe,4096,0.027
10,omp_mXv.exe,4096,0.144
1,omp_mXv.exe,8192,0.114
2,omp_mXv.exe,8192,0.102
3,omp_mXv.exe,8192,0.157
4,omp_mXv.exe,8192,0.24
5,omp_mXv.exe,8192,0.153
6,omp_mXv.exe,8192,0.108
7,omp_mXv.exe,8192,0.109
8,omp_mXv.exe,8192,0.105
9,omp_mXv.exe,8192,0.103
10,omp_mXv.exe,8192,0.101
1,omp_mXv.exe,16384,0.537
2,omp_mXv.exe,16384,0.531
3,omp_mXv.exe,16384,0.534
4,omp_mXv.exe,16384,0.53
5,omp_mXv.exe,16384,0.527
6,omp_mXv.exe,16384,0.649
7,omp_mXv.exe,16384,0.628
8,omp_mXv.exe,16384,0.638
9,omp_mXv.exe,16384,0.758
10,omp_mXv.exe,16384,0.544
1,omp_mXv.exe,32768,2.063
2,omp_mXv.exe,32768,2.162
3,omp_mXv.exe,32768,2.211
4,omp_mXv.exe,32768,2.161
5,omp_mXv.exe,32768,2.202
6,omp_mXv.exe,32768,2.198
7,omp_mXv.exe,32768,2.189
8,omp_mXv.exe,32768,2.194
9,omp_mXv.exe,32768,2.199
10,omp_mXv.exe,32768,2.22
1,mpi_mXv.exe,64,0.000047
2,mpi_mXv.exe,64,0.000027
3,mpi_mXv.exe,64,0.000028
4,mpi_mXv.exe,64,0.000021
5,mpi_mXv.exe,64,0.000028
6,mpi_mXv.exe,64,0.000041
7,mpi_mXv.exe,64,0.000028
8,mpi_mXv.exe,64,0.000028
9,mpi_mXv.exe,64,0.000028
10,mpi_mXv.exe,64,0.000027
1,mpi_mXv.exe,128,0.000112
2,mpi_mXv.exe,128,0.00011
3,mpi_mXv.exe,128,0.000112
4,mpi_mXv.exe,128,0.000112
5,mpi_mXv.exe,128,0.00011
6,mpi_mXv.exe,128,0.000112
7,mpi_mXv.exe,128,0.000112
